ma_golf_courses
name,address,city,state,zip,region,club_type,holes,par,course_rating,slope_rating,yardage,architect,description,price_min,price_max,price_tier,website_url,booking_url,lat,lng,photo_url,has_driving_range,has_practice_green,is_published
Acoaxet Club,152 Howland Road,Westport,MA,2790,South Shore,private,9,,,,,Larry Macdonald,,,,,https://www.acoaxet.com/,,,,,,,FALSE
Acushnet River Valley Golf Course,685 Main Street,Acushnet,MA,2743,South Shore,public,18,,,,,"Geoffrey S. Cornish, Brian Silva and Mark Mungeam",,,,,https://www.golfacushnet.com/,https://www.golfacushnet.com/golf/tee-times,,,,,,FALSE
Agawam Municipal Golf Course,128 Southwick St.,Feeding Hills,MA,1030,Greater Springfield,public,18,,,,,Richard Leao,,,,,https://www.agawamgolfcourse.com/,https://www.agawamgolfcourse.com/tee-times/,,,,,,FALSE
Allendale Country Club,1047 Allen St,North Dartmouth,MA,2747,South Shore,public,18,,,,,Geoffrey Cornish,,,,,https://allendalecc.net/,https://apimanager-cc29.clubcaddie.com/webapi/view/cbfdabab/slots?date=05%2F25%2F2026&player=1&ratetype=any&Interaction=ghq7com3k63t43n3vo9blf411b,,,,,,FALSE
Amesbury Golf & Country Club,46 Monroe St,Amesbury,MA,1913,North Shore,public,9,,,,,Wayne Stiles,Call for your tee time today - 978-388-5153,,,,https://www.amesburycountryclub.com/,,,,,,,FALSE
Amherst Golf Club,365 South Pleasant Street,Amherst,MA,1002,Greater Springfield,public,9,,,,,Walter Hatch,,,,,https://amherstgolfclub.org/,https://www.chronogolf.com/club/19528/widget,,,,,,FALSE
Andover Country Club,60 Canterbury Street,Andover,MA,1810,North Shore,private,18,72,,,,Donald Ross,,,,,https://www.andovercountryclub.com/,,,,,,,FALSE
Atlantic Country Club,450 Little Sandy Pond Rd.,Plymouth,MA,2360,South Shore,public,18,72,,,,"Geoffrey Cornish, Brian Silva, Mark Mungeam",,,,,https://atlanticcountryclub.net/,https://foreupsoftware.com/index.php/booking/22592?_gl=1*707wdz*_ga*MTkxNDc1MDQ1NS4xNzc5NjgyNTQ4*_ga_WQPLP348DP*czE3Nzk3MjY0ODMkbzIkZzAkdDE3Nzk3MjY0ODMkajYwJGwwJGgw#/teetimes,,,,,,FALSE
Bas Ridge Golf Course,151 Plunkett Street,Hinsdale,MA,1235,Berkshires,public,18,70,,,,Rowland Armacost,,,,,http://www.basridge.com/,,,,,,,FALSE
Bass River Golf Course,62 Highbank Road,South Yarmouth,MA,2664,Cape Cod,public,18,,,,,Donald Ross,,,,,https://www.golfyarmouth.com/bass-river,https://yarmouthpublic.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23.999722222222225,,,,,,FALSE
Bass Rocks Golf Club,34 Beach Road,Gloucester,MA,1930,North Shore,private,18,,,,,Herbert Leeds,,,,,https://www.bassrocksgolfclub.org/,,,,,,,FALSE
Bayberry Hills Golf Course,635 West Yarmouth Road,West Yarmouth,MA,2673,Cape Cod,public,27,,,,,"Geoffrey Cornish, Brian Silva, Timothy Gerrish",,,,,https://www.golfyarmouth.com/,https://www.golfyarmouth.com/contact-us-/book-now,,,,,,FALSE
Bear Hill Golf Club,2 North Street,Stoneham,MA,2180,Greater Boston,private,9,,,,,Alexander H. Findlay,,,,,https://bearhillgolfclub.com/,,,,,,,FALSE
Bedfordshire Golf Club,4 Mitchell Grant Way,Bedford,MA,1730,Greater Boston,private,9,,,,,Cameron Sinclair,Potentially Closed,,,,,,,,,,,FALSE
Bedrock Golf Club,87 Barre Paxton Road,Rutland,MA,1543,Greater Worcester,public,9,,,,,"Bill Greene, Joe Carr",,,,,https://www.bedrockgolfclub.com/,https://bedrock-golf-club.book.teeitup.com/?course=13256&date=2026-05-25&max=999999,,,,,,FALSE
Bellevue Golf Club,320 Porter Street,Melrose,MA,2176,Greater Boston,private,9,,,,,Wayne Stiles & John Van Kleek,,,,,https://bellevuegolfclub.com/,,,,,,,FALSE
Belmont Country Club,181 Winter Street,Belmont,MA,2478,Greater Boston,private,18,,,,,Donald Ross,,,,,https://www.belmontcc.org/,,,,,,,FALSE
Berkshire Hills Country Club,500 Benedict Rd,Pittsfield,MA,1201,Berkshires,private,18,,,,,A.W. Tillinghast,,,,,https://berkshirehillscc.com/,,,,,,,FALSE
Berlin Country Club,25 Carr Rd,Berlin,MA,1503,Greater Worcester,public,9,,,,,,,,,,https://www.berlincountryclub.com/,https://www.berlincountryclub.com/tee-times/,,,,,,FALSE
Beverly Golf & Tennis Club,134 Mckay Street,Beverly,MA,1915,North Shore,public,18,,,,,Skip Wogan,,,,,https://beverlygolfandtennis.com/,https://beverlygolf.cps.golf/onlineresweb/search-teetime?TeeOffTimeMin=0&TeeOffTimeMax=23.999722222222225,,,,,,FALSE
Black Rock Country Club,19 Clubhouse Drive,Hingham,MA,2043,South Shore,private,18,,,,,Brian Silva,,,,,https://www.blackrockcountryclub.com/,,,,,,,FALSE
Black Swan Country Club,258 Andover St,Georgetown,MA,1833,North Shore,public,18,,,,,Philip Wogan,Reservations can be made up to 7 days in advance. A credit card is required to hold your reservation,,,,https://www.blackswancountryclub.com/,https://www.blackswancountryclub.com/golf/tee-times,,,,,,FALSE
Blackstone National Golf Club,227 Putnam Hill Rd.,Sutton,MA,1590,Greater Worcester,public,18,72,,,,"Michael Maurer, Rees Jones",,,,,https://www.bngc.net/,https://www.chronogolf.com/club/blackstone-national-golf-club-massachusetts-sutton,,,,,,FALSE
Blandford Country Club,17 North Street,Blandford,MA,1008,Berkshires,public,9,,,,,William Dexter,"For Tee Times or questions, please contact us at: 413-848-2443",,,,https://www.blandfordcountryclub.com/,,,,,,,FALSE
Blissful Meadows Golf Course,801 Chocolog Road,Uxbridge,MA,1569,Greater Worcester,public,18,,,,,"Geoffrey S. Cornish, Brian Silva",,,,,https://www.blissfulmeadows.com/,https://blissfulmeadows.cps.golf/,,,,,,FALSE
Blue Hill Country Club,23 Pecunit Street,Blue Hill,ME,2021,Greater Boston,private,27,,,,,"Skip Wogan, Phil Wogan",,,,,https://www.bluehillcc.com/,,,,,,,FALSE
Blue Rock Golf Course,48 Todd Road,South Yarmouth,MA,2664,Cape Cod,public,18,,,,,Geoffrey Cornish,,,,,https://bluerockgolfcourse.com/,https://www.chronogolf.com/club/blue-rock-golf-course?date=2026-05-25,,,,,,FALSE
Boston Golf Club,19 Old County Road,Hingham,MA,2043,South Shore,private,18,,,,,Gil Hanse,,,,,https://bostongolfclub.org/,,,,,,,FALSE
Bradford Country Club,201 Chadwick Road,Bradford,MA,1835,North Shore,public,18,,,,,"Geoffrey Cornish, Brian Silva",,,,,https://bradfordcc.com/,https://foreupsoftware.com/index.php/booking/index/18983#teetimes,,,,,,FALSE
Brae Burn Country Club,326 Fuller Street,West Newton,MA,2465,Greater Boston,private,27,,,,,Donald Ross,,,,,https://www.braeburngolf.com/,,,,,,,FALSE
Braintree Municipal GC,101 Jeffereson St,Braintree,MA,2184,Greater Boston,public,18,,,,,Sam Mitchell,,,,,https://www.braintreegolf.com/,https://www.braintreegolf.com/book-tee-times/,,,,,,FALSE
Brockton Country Club,265 Samuel Avenue,Brockton,MA,2301,South Shore,private,9,36,,,,Alexander H. Findlay,,,,,https://www.brocktoncc.com/,,,,,,,FALSE
Brookline Golf Course,1281 West Roxbury Parkway,Brookline,MA,2467,Greater Boston,public,18,,,,,"John Van Kleek, Wayne Stiles",,,,,https://www.brooklinegolf.com/,https://foreupsoftware.com/index.php/booking/19865/2748#/teetimes,,,,,,FALSE
Brookmeadow Country Club,100 Everendon Rd,Canton,MA,2021,Greater Boston,public,18,,,,,Samuel Mitchell,,,,,https://www.brookmeadowgolf.com/,https://app.whoosh.io/patron/club/brookmeadow-country-club/agenda/golf-course/2026-05-25,,,,,,FALSE
Butter Brook Golf Club,157 Carlisle Road,Westford,MA,1886,Greater Worcester,public,18,,,,,"Geoffrey Cornish, Brian Silva, Mark Mungeam",,,,,https://www.butterbrookgc.com/,https://butterbrook.cps.golf/,,,,,,FALSE
Butternut Farm Golf Club,115 Wheeler Rd.,Stow,MA,1775,Greater Boston,public,18,,,,,Robert Page III,,,,,https://www.butternutfarm.com/,https://butternut-farm-golf-club.book.teeitup.com/?course=17036&date=2026-05-25&max=999999,,,,,,FALSE
Cape Ann Golf Club,99 John Wise Ave.,Essex,MA,1929,North Shore,public,9,,,,,Eugene Skip Wogen,,,,,https://www.capeanngolf.com/,https://capeann.quick18.com/teetimes/searchmatrix,,,,,,FALSE
Cape Cod Country Club,48 Theater Drive,East Falmouth,MA,2536,Cape Cod,public,18,,,,,"Devereux Emmet, Alfred H. Tull",,,,,https://capecodcountryclub.com/,https://capecodcountryclub.com/,,,,,,FALSE
Cape Cod National Golf Club,174 South Orleans Rd.,Brewster,MA,2631,Cape Cod,private,18,,,,,"Geoffrey Cornish, Brian Silva, Mark Mungeam",,,,,https://www.ccngolf.org/,,,,,,,FALSE
Captains Golf Course,1000 Freemans Highway,Brewster,MA,2631,Cape Cod,public,36,,,,,Brian Silva,,,,,https://www.captainsgolfcourse.com/,https://captain.chelseareservations.com/,,,,,,FALSE
Cedar Hill Golf Course,1137 Park St,Stoughton,MA,2072,Greater Boston,public,9,,,,,"Robert Graves, Damian Pascuzzo",No Tee Times,,,,https://www.cedarhillgolfcourse.com/,,,,,,,FALSE
Charles River Country Club,483 Dedham Street,Newton Center,MA,2459,Greater Boston,private,18,,,,,Donald Ross,,,,,https://www.charlesrivercc.org/,,,,,,,FALSE
Charter Oak Country Club,15 Brent Drive,Hudson,MA,1749,Greater Worcester,private,18,,,,,Robert Trent Jones Jr.,,,,,https://www.charteroakcc.com/,,,,,,,FALSE
Chatham Seaside Links,209 Seaview Street,Chatham,MA,2633,Cape Cod,public,9,,,,,,,,,,https://www.chathamseasidelinks.com/,https://apimanager-cc31.clubcaddie.com/webapi/view/fjedabab/slots?date=05%2F25%2F2026&player=1&ratetype=any&Interaction=6jornnb1b57jehnc9g9fcefdac,,,,,,FALSE
Chelmsford Country Club,66 Park Road,Chelmsford,MA,1824,North Shore,public,9,,,,,Brian Silva,,,,,https://www.chelmsfordcountryclub.com/,https://chelmsford-country-club.book.teeitup.golf/?course=5723&date=2026-05-25&max=999999,,,,,,FALSE
Chequessett Club,680 Chequessett Neck Road,Wellfleet,MA,2667,Cape Cod,public,9,,,,,Geoffrey Cornish,Course Under Construction,,,,https://chequessettclub.com/,,,,,,,FALSE
Cherry Hill Golf Course,323 Montague Road,Amherst,MA,1002,Greater Springfield,public,9,,,,,Dave Maxon,,,,,https://www.amherstma.gov/373/Cherry-Hill-Golf-Course,https://book.squareup.com/appointments/muw9cyio3ah9jc/location/5GB4T2TB6E07D/services,,,,,,FALSE
Chicopee Country Club,1290 Burnett Road,Chicopee,MA,1020,Greater Springfield,public,18,,,,,"Brian Silva, Geoffrey S. Cornish",,,,,https://www.chicopeecountryclub.com/,https://www.chicopeecountryclub.com/,,,,,,FALSE
Cohasse Country Club,383 Eastford Road,Southbridge,MA,1550,Greater Worcester,public,9,,,,,Donald Ross,,,,,https://www.cohasse.com/,https://www.cohasse.com/,,,,,,FALSE
